"image-wrapper href","lazyloaded src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyloading src","out-of-stock"
"https://www.cnc-marketi.com/urun/kompozit-derz-kanal-bicagi-freze-6x13x90-derece","https://cncmarketi.tsoftstatic.com/urunkompozit-derz-kanal-bicagi-freze-6x13x90-derece-9903-78-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/785/b4e9ad6a430e82126ac247a594528c276f4fde05ae351b46eba01b3f46e1a1a332949e307c91940148b461b768d6d941","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Kompozit Derz Kanal Bıçağı Freze 6x13x90 Derece","352,51","215,03","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/kompozit-derz-kanal-bicagi-freze-6x16x120-derece","https://cncmarketi.tsoftstatic.com/urunkompozit-derz-kanal-bicagi-freze-6x16x120-derece-9904-78-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/786/2349613b67df904efe9d6a1a965585ca875cdb0f12e76f04d76aa941fdd8787fe8778075b22468dc23a5e0e1d9885776","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Kompozit Derz Kanal Bıçağı Freze 6x16x120 Derece","352,51","215,03","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/kompozit-derz-kanal-bicagi-freze-6x22x90-derece","https://cncmarketi.tsoftstatic.com/urunkompozit-derz-kanal-bicagi-freze-6x22x90-derece-9905-78-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/787/d03f1c7833c48d69d0045f302cf4912d6248148be5f3ba5d449bf277cb7f56cb82fef1e7e9559d4bc361769fe18a6826","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Kompozit Derz Kanal Bıçağı Freze 6x22x90 Derece","352,51","215,03","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/m10-helis-kilavuz","https://cncmarketi.tsoftstatic.com/urunm10-helis-kilavuz-9986-86-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/867/93f493cdc382ac6a224748946cd72adc75cd576cdd767b2fc3ae459b863e8c8937f699fa50ba1255041b17e91464895b","Promertech","https://www.cnc-marketi.com/mrk","M10 HELİS KILAVUZ","561,95","342,79","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/m5-helis-kilavuz","https://cncmarketi.tsoftstatic.com/urunm5-helis-kilavuz-10053-93-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/934/a6ac8e24f91d5cb10c8f0d9bcc830762a17e7ab9c96e23e7a5fd0156dd59d05ec3bd434e125b74ccc63c3ec222d1654c","Promertech","https://www.cnc-marketi.com/mrk","M5 HELİS KILAVUZ","240,54","146,73","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/m6-helis-kilavuz","https://cncmarketi.tsoftstatic.com/urunm6-helis-kilavuz-10076-95-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/959/df9099cc5456a4a1f3c40386dd4cf8fa4345fed025e52f7804b991dfd0ab24b954f97519a798964fd371d6c73347dd8e","Promertech","https://www.cnc-marketi.com/mrk","M6 HELİS KILAVUZ","320,89","195,74","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/m8-helis-kilavuz","https://cncmarketi.tsoftstatic.com/urunm8-helis-kilavuz-10102-98-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/985/e634e24c9a52478852da4ef30af320a4f2074d461c4b7511b5547c93fa2b24567054dc634769c01b52000e9ac9c4a8d1","Promertech","https://www.cnc-marketi.com/mrk","M8 HELİS KILAVUZ","428,20","261,20","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-10-mm-jilet-arden-kesici-takim","https://cncmarketi.tsoftstatic.com/urun-10-mm-jilet-arden-kesici-takim-10195-10-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1072/fb52728fa2546256946f372222bb7d3964cf0f676f27d96108c74469e8fa2cf660f845d820561605e1912cf21383d902","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø10 Mm Jilet Arden Kesici Takım","544,32","332,04","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-6-mm-x-22-3d-isleme-karbur-freze-cnc-uclari","https://cncmarketi.tsoftstatic.com/urun-6-mm-x-22-3d-isleme-karbur-freze-cnc-uclari-10213-10-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1090/7dde3b91cf1228871d3b080e7a134afcf86fdefee427417a517905b614ac1b5384078acf05b466daf24ca7d9fa0446fc","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø6 Mm X 22 3D İşleme Karbür Freze Cnc Uçları","534,99","294,24","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-6x22-mfdf-ahsap-plexsi-aluminyum-parmak-freze-karbur-uc","https://cncmarketi.tsoftstatic.com/urun-6x22-mfdf-ahsap-plexsi-aluminyum-parmak-freze-karbur-uc-10214-10-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1091/f53b89d08d7a3b6b2d963a797cea16a78a69b07b2ce0ff04b76f42d49c9563a9012f676d6f25f093ad5f1b75d30c4b59","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø6x22 Mfdf Ahşap Plexsi Alüminyum Parmak Freze Karbür Uç","534,99","326,34","javascript:void(0);","Sepete Ekle","",""
